ISO3V10,Country,Time_stay
AGO,Angola,o
ALB,Albania,o
ARE,United Arab Emirates            ,1
ARG,Argentina,o
ARM,Armenia,o
AUS,Australia,o
AUT,Austria,o
AZE,Azerbaijan,o
BDI,Burundi,o
BEL,Belgium,1
BEN,Benin,o
BFA,Burkina Faso,o
BGD,Bangladesh,o
BGR,Bulgaria,o
BIH,Bosnia and Herzegovina          ,o
BLR,Belarus,o
BLZ,Belize,o
BOL,Bolivia,o
BRA,Brazil,o
BWA,Botswana,o
CAF,Central African Republic        ,o
CAN,Canada,o
CHE,Switzerland,o
CHL,Chile,o
CHN,China,4
CIV,Cote d'Ivoire,o
CMR,Cameroon,o
COD,Dem. Rep. Congo,o
COG,Congo,o
COL,Colombia,o
CRI,Costa Rica,o
CUB,Cuba,o
CYP,Cyprus,o
CZE,Czech Rep.,2
DEU,Germany,1
DJI,Djibouti,o
DNK,Denmark,4
DOM,Dominican Rep.,o
DZA,Algeria,o
ECU,Ecuador,o
EGY,Egypt,2
ERI,Eritrea,o
ESP,Spain,1
EST,Estonia,o
ETH,Ethiopia,2
FIN,Finland,o
FJI,Fiji,o
FRA,France,1
GAB,Gabon,o
GBR,United Kingdom,4
GEO,Georgia,o
GHA,Ghana,o
GIN,Guinea,o
GNB,Guinea-Bissau,o
GRC,Greece,o
GTM,Guatemala,o
GUY,Guyana,o
HND,Honduras,o
HRV,Croatia,2
HTI,Haiti,o
HUN,Hungary,o
IDN,Indonesia,o
IND,India,2
IRL,Ireland,1
IRN,Iran,2
IRQ,Iraq,o
ISL,Iceland,4
ISR,Israel,o
ITA,Italy,1
JAM,Jamaica,o
JOR,Jordan,2
JPN,Japan,2
KAZ,Kazakhstan,o
KEN,Kenya,2
KGZ,Kyrgyzstan,o
KHM,Cambodia,o
KOR,South Korea,o
KWT,Kuwait,o
LAO,Laos,o
LBN,Lebanon,2
LKA,Sri Lanka,o
LTU,Lithuania,o
LUX,Luxembourg,o
LVA,Latvia,o
MAR,Morocco,2
MDA,Moldova,o
MDG,Madagascar,o
MEX,Mexico,o
MKD,Macedonia,o
MLI,Mali,o
MMR,Myanmar,o
MNG,Mongolia,o
MOZ,Mozambique,3
MRT,Mauritania,o
MUS,Mauritius,o
MWI,Malawi,o
MYS,Malaysia,o
NAM,Namibia,o
NER,Niger,o
NGA,Nigeria,o
NIC,Nicaragua,o
NLD,Netherlands,3
NOR,Norway,o
NPL,Nepal,o
NZL,New Zealand,2
OMN,Oman,o
PAK,Pakistan,o
PAN,Panama,o
PER,Peru,o
PHL,Philippines,1
PNG,Papua New Guinea,o
POL,Poland,o
PRT,Portugal,o
PRY,Paraguay,o
ROU,Romania,o
RUS,Russia,2
RWA,Rwanda,o
SAU,Saudi Arabia,o
SDN,Sudan,o
SEN,Senegal,o
SLB,Solomon Islands,o
SLE,Sierra Leone,o
SLV,El Salvador,o
SVK,Slovakia,o
SVN,Slovenia,1
SWE,Sweden,4
SWZ,Swaziland,o
SYR,Syria,2
TCD,Chad,o
TGO,Togo,o
THA,Thailand,3
TJK,Tajikistan,o
TKM,Turkmenistan,o
TTO,Trinidad & Tobago,o
TUN,Tunisia,o
TUR,Turkey,1
TWN,Taiwan,o
TZA,Tanzania,1
UGA,Uganda,o
UKR,Ukraine,o
URY,Uruguay,o
USA,United States,2
UZB,Uzbekistan,o
VEN,Venezuela,o
VNM,Viet Nam,o
YEM,Yemen,o
ZAF,South Africa,o
ZMB,Zambia,o
ZWE,Zimbabwe,o
SOM,Somalia,3
